names,date,sentences
John Besh,6/25/17,7413
John Besh,7/2/17,6721
John Besh,7/9/17,6923
John Besh,7/16/17,8707
John Besh,7/23/17,9297
John Besh,7/30/17,7897
John Besh,8/6/17,6647
John Besh,8/13/17,6690
John Besh,8/20/17,7770
John Besh,8/27/17,6828
John Besh,9/3/17,6874
John Besh,9/10/17,7155
John Besh,9/17/17,8912
John Besh,9/24/17,7667
John Besh,10/1/17,7114
John Besh,10/8/17,7063
John Besh,10/15/17,7716
John Besh,10/22/17,8882
John Besh,10/29/17,7935
John Besh,11/5/17,7601
John Besh,11/12/17,6981
John Besh,11/19/17,6484
John Besh,11/26/17,1750
James Toback,1/1/17,4987
James Toback,1/8/17,5784
James Toback,1/15/17,6180
James Toback,1/22/17,5647
James Toback,1/29/17,6290
James Toback,2/5/17,6817
James Toback,2/12/17,6317
James Toback,2/19/17,5431
James Toback,2/26/17,4987
James Toback,3/5/17,5477
James Toback,3/12/17,5924
James Toback,3/19/17,7951
James Toback,3/26/17,6838
James Toback,4/2/17,5555
James Toback,4/9/17,6451
James Toback,4/16/17,5498
James Toback,4/23/17,6042
James Toback,4/30/17,6735
James Toback,5/7/17,12401
James Toback,5/14/17,11561
James Toback,5/21/17,7571
James Toback,5/28/17,7181
James Toback,6/4/17,12974
James Toback,6/11/17,8402
James Toback,6/18/17,5338
James Toback,6/25/17,4881
James Toback,7/2/17,4406
James Toback,7/9/17,4813
James Toback,7/16/17,4900
James Toback,7/23/17,5270
James Toback,7/30/17,4895
James Toback,8/6/17,4437
James Toback,8/13/17,6265
James Toback,8/20/17,4882
James Toback,8/27/17,4301
James Toback,9/3/17,4642
James Toback,9/10/17,4763
James Toback,9/17/17,5237
James Toback,9/24/17,5913
James Toback,10/1/17,4414
James Toback,10/8/17,4371
James Toback,10/15/17,5057
James Toback,10/22/17,5817
James Toback,10/29/17,5512
James Toback,11/5/17,4839
James Toback,11/12/17,4995
James Toback,11/19/17,4177
James Toback,11/26/17,1074
Terry Richardson,1/1/17,1170
Terry Richardson,1/8/17,1373
Terry Richardson,1/15/17,882
Terry Richardson,1/22/17,1231
Terry Richardson,1/29/17,1162
Terry Richardson,2/5/17,931
Terry Richardson,2/12/17,1036
Terry Richardson,2/19/17,1099
Terry Richardson,2/26/17,986
Terry Richardson,3/5/17,908
Terry Richardson,3/12/17,1104
Terry Richardson,3/19/17,1453
Terry Richardson,3/26/17,1509
Terry Richardson,4/2/17,1029
Terry Richardson,4/9/17,1311
Terry Richardson,4/16/17,1596
Terry Richardson,4/23/17,1599
Terry Richardson,4/30/17,1440
Terry Richardson,5/7/17,1384
Terry Richardson,5/14/17,1675
Terry Richardson,5/21/17,1742
Terry Richardson,5/28/17,1093
Terry Richardson,6/4/17,1139
Terry Richardson,6/11/17,1345
Terry Richardson,6/18/17,984
Terry Richardson,6/25/17,1001
Terry Richardson,7/2/17,1210
Terry Richardson,7/9/17,925
Terry Richardson,7/16/17,1034
Terry Richardson,7/23/17,986
Terry Richardson,7/30/17,1307
Terry Richardson,8/6/17,1204
Terry Richardson,8/13/17,1310
Terry Richardson,8/20/17,1221
Terry Richardson,8/27/17,965
Terry Richardson,9/3/17,1198
Terry Richardson,9/10/17,927
Terry Richardson,9/17/17,984
Terry Richardson,9/24/17,1192
Terry Richardson,10/1/17,1027
Terry Richardson,10/8/17,1204
Terry Richardson,10/15/17,852
Terry Richardson,10/22/17,1708
Terry Richardson,10/29/17,1093
Terry Richardson,11/5/17,1165
Terry Richardson,11/12/17,1099
Terry Richardson,11/19/17,976
Terry Richardson,11/26/17,192
Leon Wieseltier,1/1/17,273
Leon Wieseltier,1/8/17,299
Leon Wieseltier,1/15/17,269
Leon Wieseltier,1/22/17,429
Leon Wieseltier,1/29/17,273
Leon Wieseltier,2/5/17,379
Leon Wieseltier,2/12/17,285
Leon Wieseltier,2/19/17,336
Leon Wieseltier,2/26/17,335
Leon Wieseltier,3/5/17,327
Leon Wieseltier,3/12/17,476
Leon Wieseltier,3/19/17,460
Leon Wieseltier,3/26/17,572
Leon Wieseltier,4/2/17,471
Leon Wieseltier,4/9/17,474
Leon Wieseltier,4/16/17,307
Leon Wieseltier,4/23/17,385
Leon Wieseltier,4/30/17,364
Leon Wieseltier,5/7/17,349
Leon Wieseltier,5/14/17,281
Leon Wieseltier,5/21/17,258
Leon Wieseltier,5/28/17,332
Leon Wieseltier,6/4/17,299
Leon Wieseltier,6/11/17,214
